1,Lottie Duffy,<Skills><Skill name="Cloud Architecture" level="Expert"/><Skill name="ETL" level="Advanced"/><Skill name="React" level="Intermediate"/><Skill name="Project Management" level="Advanced"/><Skill name="Project Management" level="Advanced"/><Skill name="Projec
2,Pat Moran,<Skills><Skill name="Cloud Architecture" level="Expert"/><Skill name="Azure" level="Advanced"/><Skill name="Node.js" level="Intermediate"/><Skill name="Project Management" level="Advanced"/><Skill name="Project Management" level="Advanced"/><Skill name="Pr
3,Alma Hutchinson,<Skills><Skill name="Python" level="Expert"/><Skill name="Kubernetes" level="Advanced"/><Skill name="Go" level="Intermediate"/><Skill name="Project Management" level="Advanced"/><Skill name="Project Management" level="Advanced"/><Skill name="Project Manage
4,Evan Chapman,<Skills><Skill name="Cloud Architecture" level="Expert"/><Skill name="PowerShell" level="Advanced"/><Skill name="Vue" level="Intermediate"/><Skill name="Project Management" level="Advanced"/><Skill name="Project Management" level="Advanced"/><Skill name="P
5,Shelley Ericksen,<Skills><Skill name="Cloud Architecture" level="Expert"/><Skill name="PowerShell" level="Advanced"/><Skill name="Angular" level="Intermediate"/><Skill name="Project Management" level="Advanced"/><Skill name="Project Management" level="Advanced"/><Skill nam
6,Tami Mclean,<Skills><Skill name="Data Modeling" level="Expert"/><Skill name="ETL" level="Advanced"/><Skill name="Go" level="Intermediate"/><Skill name="Project Management" level="Advanced"/><Skill name="Project Management" level="Advanced"/><Skill name="Project Manage
7,Randal Kaufman,<Skills><Skill name="T-SQL" level="Expert"/><Skill name="Kubernetes" level="Advanced"/><Skill name="React" level="Intermediate"/><Skill name="Project Management" level="Advanced"/><Skill name="Project Management" level="Advanced"/><Skill name="Project Mana
8,Ralph Olson,<Skills><Skill name="T-SQL" level="Expert"/><Skill name="Azure" level="Advanced"/><Skill name="Go" level="Intermediate"/><Skill name="Project Management" level="Advanced"/><Skill name="Project Management" level="Advanced"/><Skill name="Project Management" 
9,Patricia Davis,<Skills><Skill name="Cloud Architecture" level="Expert"/><Skill name="Azure" level="Advanced"/><Skill name="Node.js" level="Intermediate"/><Skill name="Project Management" level="Advanced"/><Skill name="Project Management" level="Advanced"/><Skill name="Pr
10,Ellen Carr,<Skills><Skill name="Python" level="Expert"/><Skill name="ETL" level="Advanced"/><Skill name="Vue" level="Intermediate"/><Skill name="Project Management" level="Advanced"/><Skill name="Project Management" level="Advanced"/><Skill name="Project Management" 
11,Cesar Parrish,<Skills><Skill name="Python" level="Expert"/><Skill name="ETL" level="Advanced"/><Skill name="Node.js" level="Intermediate"/></Skills>
12,Gavin Peters,<Skills><Skill name="Cloud Architecture" level="Expert"/><Skill name="Docker" level="Advanced"/><Skill name="Vue" level="Intermediate"/></Skills>
13,Aiden Schmidt,<Skills><Skill name="T-SQL" level="Expert"/><Skill name="ETL" level="Advanced"/><Skill name="Angular" level="Intermediate"/></Skills>
14,Elena Lyons,<Skills><Skill name="C#" level="Expert"/><Skill name="PowerShell" level="Advanced"/><Skill name="Vue" level="Intermediate"/></Skills>
15,Forrest Brandt,<Skills><Skill name="Python" level="Expert"/><Skill name="PowerShell" level="Advanced"/><Skill name="Vue" level="Intermediate"/></Skills>
16,Wilbert Lambert,<Skills><Skill name="Python" level="Expert"/><Skill name="Azure" level="Advanced"/><Skill name="Angular" level="Intermediate"/></Skills>
17,Rex Booker,<Skills><Skill name="T-SQL" level="Expert"/><Skill name="PowerShell" level="Advanced"/><Skill name="Go" level="Intermediate"/></Skills>
18,Omar Barton,<Skills><Skill name="Cloud Architecture" level="Expert"/><Skill name="Azure" level="Advanced"/><Skill name="Node.js" level="Intermediate"/></Skills>
19,Julius Wilkins,<Skills><Skill name="C#" level="Expert"/><Skill name="Kubernetes" level="Advanced"/><Skill name="Vue" level="Intermediate"/></Skills>
20,Jarrod Schneider,<Skills><Skill name="Data Modeling" level="Expert"/><Skill name="Docker" level="Advanced"/><Skill name="Node.js" level="Intermediate"/></Skills>
