1,Jeannie Krause,Marketing,155385.00
2,Tyler Foster,Operations,116740.00
3,Raymond Ruiz,Legal,247336.00
4,Dewayne Trevino,Operations,175508.00
5,Esperanza Middleton,Legal,117084.00
6,Gary Stewart,Finance,125911.00
7,Wayne Wagner,Finance,160340.00
8,Rocco Parrish,Engineering,158770.00
9,Miriam Berg,Engineering,115552.00
10,Joe Kim,Engineering,75063.00
11,Jana Castaneda,HR,230963.00
12,Ashley Robinson,Engineering,74404.00
13,Olive Bean,Legal,119385.00
14,Antoinette Brennan,Operations,145171.00
15,Tommy Oneal,Engineering,68982.00
16,Cesar Parrish,Legal,239505.00
17,Rocco Parrish,HR,177176.00
18,Lorna Downs,Engineering,181309.00
19,Ryan Cruz,IT,217651.00
20,Hector Lambert,Finance,182882.00
21,Jose Sullivan,Engineering,118033.00
22,Alberta York,Operations,212585.00
23,Elvira Mclean,Finance,85982.00
24,Kevin Green,Customer Success,143984.00
25,Ollie Paul,HR,229927.00
26,Winifred Bender,Legal,174349.00
27,Patricia Davis,Legal,127994.00
28,Rufus Sutton,IT,156080.00
29,Bonnie Hale,HR,59807.00
30,Darlene Soto,Finance,88116.00
31,Trevor Greer,HR,217233.00
32,Raymond Ruiz,Marketing,60628.00
33,Sondra Bean,Engineering,79127.00
34,Doris Orr,HR,242992.00
35,Salvador Larsen,Finance,194229.00
36,Esperanza Middleton,Legal,95782.00
37,Lillian Berry,Operations,203103.00
38,Lena Aguilar,R&D,229425.00
39,Tracey Johnston,IT,221543.00
40,Arlene Moon,Engineering,187642.00
41,Corey Howell,Engineering,94563.00
42,Rolando Herman,IT,150405.00
43,Leila Roth,Customer Success,215078.00
44,Jeffrey Diaz,Customer Success,129540.00
45,Fabian Joseph,HR,71894.00
46,Scott Howard,HR,77253.00
47,Nelson Huff,Legal,196148.00
48,Adrian Pacheco,Sales,200292.00
49,Elias Klein,Sales,197684.00
50,Samantha Richardson,Legal,196711.00
