1,Jeannie Krause,jeannie.krause1@corp.com,Marketing,Engineer,155385.00,2019-08-15,
2,Tyler Foster,tyler.foster2@corp.com,Operations,Specialist,116740.00,2023-02-22,1
3,Raymond Ruiz,raymond.ruiz3@corp.com,Legal,VP,247336.00,2017-12-10,1
4,Dewayne Trevino,dewayne.trevino4@corp.com,Operations,Coordinator,175508.00,2025-11-01,1
5,Esperanza Middleton,esperanza.middleton5@corp.com,Legal,Coordinator,117084.00,2019-09-29,1
6,Gary Stewart,gary.stewart6@corp.com,Finance,Engineer,125911.00,2021-03-16,1
7,Wayne Wagner,wayne.wagner7@corp.com,Finance,Specialist,160340.00,2024-02-20,1
8,Rocco Parrish,rocco.parrish8@corp.com,Engineering,Specialist,158770.00,2017-12-20,1
9,Miriam Berg,miriam.berg9@corp.com,Engineering,Coordinator,115552.00,2025-04-13,1
10,Joe Kim,joe.kim10@corp.com,Engineering,VP,75063.00,2022-01-15,1
11,Jana Castaneda,jana.castaneda11@corp.com,HR,Engineer,230963.00,2025-10-27,1
12,Ashley Robinson,ashley.robinson12@corp.com,Engineering,Specialist,74404.00,2023-06-18,1
13,Olive Bean,olive.bean13@corp.com,Legal,Consultant,119385.00,2019-09-05,3
14,Antoinette Brennan,antoinette.brennan14@corp.com,Operations,Senior Engineer,145171.00,2024-12-17,3
15,Tommy Oneal,tommy.oneal15@corp.com,Engineering,VP,68982.00,2022-11-30,14
16,Cesar Parrish,cesar.parrish16@corp.com,Legal,Architect,239505.00,2025-11-03,15
17,Rocco Parrish,rocco.parrish17@corp.com,HR,Engineer,177176.00,2019-11-24,1
18,Lorna Downs,lorna.downs18@corp.com,Engineering,Coordinator,181309.00,2017-04-19,17
19,Ryan Cruz,ryan.cruz19@corp.com,IT,Consultant,217651.00,2024-11-05,11
20,Hector Lambert,hector.lambert20@corp.com,Finance,VP,182882.00,2016-10-31,12
21,Jose Sullivan,jose.sullivan21@corp.com,Engineering,Analyst,118033.00,2020-05-10,9
22,Alberta York,alberta.york22@corp.com,Operations,Engineer,212585.00,2020-12-23,21
23,Elvira Mclean,elvira.mclean23@corp.com,Finance,Analyst,85982.00,2017-04-18,3
24,Kevin Green,kevin.green24@corp.com,Customer Success,Senior Engineer,143984.00,2016-10-12,12
25,Ollie Paul,ollie.paul25@corp.com,HR,Architect,229927.00,2026-05-11,1
26,Winifred Bender,winifred.bender26@corp.com,Legal,Specialist,174349.00,2020-08-29,19
27,Patricia Davis,patricia.davis27@corp.com,Legal,Consultant,127994.00,2019-07-30,12
28,Rufus Sutton,rufus.sutton28@corp.com,IT,Manager,156080.00,2019-09-21,1
29,Bonnie Hale,bonnie.hale29@corp.com,HR,VP,59807.00,2019-10-09,28
30,Darlene Soto,darlene.soto30@corp.com,Finance,VP,88116.00,2025-03-07,17
