,1,Jeannie Krause,0
1,2,Tyler Foster,1
1,3,Raymond Ruiz,1
1,4,Dewayne Trevino,1
1,5,Esperanza Middleton,1
1,6,Gary Stewart,1
1,7,Wayne Wagner,1
1,8,Rocco Parrish,1
1,9,Miriam Berg,1
1,10,Joe Kim,1
1,11,Jana Castaneda,1
1,12,Ashley Robinson,1
1,17,Rocco Parrish,1
1,25,Ollie Paul,1
1,28,Rufus Sutton,1
1,36,Esperanza Middleton,1
1,341,Lisa Perez,1
1,866,Roger Gibson,1
1,1157,George Hall,1
1,1264,Lamar Rubio,1
1264,1636,Evelyn Fisher,2
1264,2208,Elma Salinas,2
1264,4613,Margaret Sanchez,2
866,2144,Julia Ruiz,2
866,3099,Mariah Jimenez,2
2144,3324,Celia Franco,3
2144,4664,Lenora Gillespie,3
341,377,Kathryn Hayes,2
341,1080,Aida Lindsey,2
1080,1847,Jose Sullivan,3
1847,2295,Laura Parker,4
1847,2588,Denise Grant,4
2588,3562,Noah Hart,5
2295,3170,Edwin Donaldson,5
2295,3651,Leigh Leach,5
3170,3954,Bruce Perkins,6
377,639,Donovan Morse,3
377,1309,Lena Aguilar,3
377,3391,Dewayne Trevino,3
377,4989,Bobby Cervantes,3
1309,1587,Justin Reed,4
1587,4117,Lela Montoya,5
4117,4334,Diana Watkins,6
639,1867,Ian Morrison,4
1867,3030,Daniel Lee,5
1867,3175,Debra Bennett,5
1867,3400,Gloria Jordan,5
36,77,Emily King,2
36,697,Jaime Booker,2
36,1345,Jason Sims,2
36,1485,Nettie Buckner,2
36,1623,Nell Wiley,2
36,2044,Bret Hays,2
36,2180,Jaime Booker,2
36,2762,Maria Garcia,2
2762,3427,Catherine Hughes,3
2044,3647,Becky Ericksen,3
2044,4388,Wesley Todd,3
1623,4244,Rory Sawyer,3
1485,4529,Troy Joseph,3
1345,1429,Cole Bennett,3
1345,1473,Mateo Sherman,3
1345,2061,Donovan Morse,3
1345,4348,Elva Roach,3
77,87,Myron Sexton,3
77,1118,Garry Huff,3
77,2803,Evelyn Fisher,3
2803,3139,Paula Wheeler,4
1118,3456,Roslyn Browning,4
3456,3462,Lillie Castaneda,5
87,103,Becky Ericksen,4
87,147,Forrest Brandt,4
87,164,Jackie Higgins,4
87,303,Solomon Wilkins,4
87,905,Raymond Ruiz,4
87,3156,Sergio Mcgee,4
3156,3926,Darlene Soto,5
3926,4169,Monte Strong,6
905,973,Toby Kirk,5
905,3865,Neva Bradford,5
905,3882,Lanny Rubio,5
905,4436,Dewayne Buck,5
4436,4623,Billy Hawkins,6
973,1033,Miriam Berg,6
973,2823,Martha Dunn,6
2823,3229,Justin Reed,7
3229,4039,Jose Sullivan,8
4039,4149,Jason Sims,9
1033,4479,Marcie Franco,7
303,335,Suzanne Holland,5
303,456,Christian Carpenter,5
303,511,Kyle Hamilton,5
303,861,Max Castro,5
303,2302,Nicholas Morales,5
511,2408,Carol Adams,6
2408,3606,Stephen Morgan,7
3606,4230,Deon Madden,8
456,1464,Andrea Reyes,6
456,2147,Naomi Middleton,6
1464,1970,Etta Rosales,7
1464,2649,Marlin Fuentes,7
335,589,Doris Orr,6
335,1861,Grant Sutton,6
335,2550,Daryl Larsen,6
335,3445,Willie Nichols,6
335,4556,Julia Ruiz,6
2550,4097,Arlene Moon,7
2550,4841,Lenore Gillespie,7
589,1199,Sondra Bean,7
589,2256,Don Morse,7
1199,1749,Sherman Bass,8
164,259,Deborah Mitchell,5
164,521,Rusty Berg,5
164,1578,Claude Blackburn,5
164,3071,Ina Savage,5
3071,3243,Irma Farrell,6
3243,3351,Nathaniel Mckinney,7
3243,4941,Lucille Calderon,7
3351,4171,Alice Murray,8
3351,4625,Reynaldo Heath,8
1578,2671,Alma Hutchinson,6
2671,2978,Ernestine Gillespie,7
521,1035,Aida Lindsey,6
521,4129,Lynette Donaldson,6
1035,1306,Fernando Glass,7
1035,3096,Jennie Salinas,7
1035,3525,Verna Krause,7
259,389,Donnie Sharp,6
259,515,Russell Duncan,6
259,4012,Cameron Montgomery,6
515,2703,Lourdes Shepard,7
2703,3474,Alfonso Friedman,8
389,1869,Judith Bryant,7
147,327,Erin Meyer,5
147,1632,Virginia Russell,5
327,606,Donovan Morse,6
327,1812,Bryan Palmer,6
327,2184,Roger Gibson,6
327,4522,Evelyn Fisher,6
2184,2573,Fannie Hutchinson,7
2184,2806,Rene Booker,7
2806,3039,Faith Bender,8
2573,3720,Cecelia Becker,8
2573,4770,Ian Morrison,8
3720,4575,Morris Koch,9
606,1101,Kenneth Hill,7
606,1414,Guadalupe Stanley,7
606,2664,Robin Winters,7
1414,2424,Harold Reynolds,8
1101,1535,Leah Costa,8
1101,3117,Effie Hale,8
1101,3480,Susan Lopez,8
1101,3715,Kimberly Young,8
1101,4037,Fannie Hutchinson,8
4037,4247,Troy Joseph,9
3117,3409,Darlene Soto,9
3409,3517,Lyle Ware,10
1535,2854,Cole Bennett,9
103,304,Troy Joseph,5
103,395,Vernon Hood,5
395,1160,Billie Wiggins,6
395,1450,Emily King,6
395,4065,Jewel Rivas,6
395,4630,Zachary Romero,6
4630,4931,Jacob Collins,7
1450,2925,Dick Decker,7
1450,4315,Micheal Mcgee,7
4315,4460,Lucile Sheppard,8
1160,2269,Amber Chavez,7
1160,3540,Joesph Mckinney,7
1160,3984,Monica Stanley,7
1160,4159,Michelle Nguyen,7
1160,4851,Olivia Ross,7
4851,4932,Tami Mclean,8
2269,2754,Julia Ruiz,8
2269,3417,Mindy Donovan,8
2269,3542,Eleanor Vargas,8
304,460,Jarrod Schneider,6
304,1453,Alfonso Friedman,6
304,3516,Cecilia Brock,6
304,4658,Kurtis Tate,6
3516,4789,Martin Sharp,7
1453,3318,Cecelia Becker,7
460,1093,Irene Glover,7
460,2618,Etta Rosales,7
2618,2641,Orlando Herman,8
1093,1169,Alexander Gray,8
1093,1256,Clark Doyle,8
1256,1903,Tammy Franklin,9
1256,2401,Seth Ellis,9
2401,3154,Shelley Ericksen,10
1903,4121,Alma Hutchinson,10
1169,2921,Gary Stewart,9
1169,3571,Rosie Mora,9
28,29,Bonnie Hale,2
28,40,Arlene Moon,2
28,81,Stella Delgado,2
28,260,Freddie Rubio,2
28,677,Susie Valencia,2
677,709,Elma Salinas,3
677,926,Sara Griffin,3
926,1355,Salvador Larsen,4
1355,2739,Fannie Hutchinson,5
1355,3665,Antoinette Brennan,5
709,837,Alexander Gray,4
709,1295,Stuart Sweeney,4
709,1696,Joanna Floyd,4
1295,1317,Doreen Orr,5
1295,1883,Benjamin Ward,5
1295,3242,Naomi Middleton,5
1317,2113,Lynne Hobbs,6
1317,2449,Shelia Horn,6
1317,4844,Emmett Barber,6
2449,3220,Nettie Buckner,7
2449,3633,Seth Ellis,7
2113,2169,Carmen Ware,7
837,940,Maria Garcia,5
837,3405,Leonard Wade,5
837,3729,Janet Sanders,5
940,1971,Gustavo Pitts,6
940,2232,Cody Parsons,6
940,4655,Nannie Roth,6
