=== OP 27 ===
STATUS: PASS  exit=0  elapsed=0.11s  rows=50

--- STDERR ---


--- STDOUT (tail) ---
Duncan,2026,Q3,244999.87000000
7,Stephen Morgan,2026,Q3,36811.99000000
9,Pedro Espinoza,2026,Q3,3661956.39200000
11,Catherine Hughes,2026,Q3,148567.93000000
12,Reba Tyler,2026,Q3,628509.90000000
14,Sondra Bean,2026,Q3,278754.95000000
15,Jennie Salinas,2026,Q3,3069263.67000000
16,Lucy Nash,2026,Q3,545553.55300000
17,Celia Franco,2026,Q3,3901247.52000000
19,Bradford Mcclure,2026,Q3,822504.87000000
20,Sherman Bass,2026,Q3,4779300.20000000
21,Kendrick Glass,2026,Q3,2757406.71000000
22,Rashad Villarreal,2026,Q3,339145.96950000
23,Alfonso Friedman,2026,Q3,259007.52000000
25,Steven Walker,2026,Q3,2189123.51000000
26,Wayne Wagner,2026,Q3,2315249.34000000
28,Cody Parsons,2026,Q3,197250.65150000
30,Bennie Duffy,2026,Q3,2313167.61000000
33,Victoria Willis,2026,Q3,187649.75000000
34,Effie Hale,2026,Q3,388568.83000000
35,George Hall,2026,Q3,2163263.62000000
36,Willie Nichols,2026,Q3,1922912.37000000
37,Jennifer Williams,2026,Q3,88083.98000000
39,Elva Roach,2026,Q3,7507584.99000000
40,Lucile Sheppard,2026,Q3,4530911.52000000
41,Elvira Mclean,2026,Q3,2510654.65000000
42,Ellen Carr,2026,Q3,410369.85000000
45,Maria Garcia,2026,Q3,5143454.21000000
46,Ashley Robinson,2026,Q3,716117.74000000
49,Joseph Gonzalez,2026,Q3,8117457.14000000
51,Myron Sexton,2026,Q3,4525984.25000000
52,Doris Orr,2026,Q3,6563418.85000000
53,Robin Winters,2026,Q3,3508697.20000000
54,Zachary Romero,2026,Q3,2370455.27000000
55,Doris Orr,2026,Q3,992214.65000000
56,Helen Cox,2026,Q3,2901324.69700000
57,Matthew Thompson,2026,Q3,772575.72000000
58,Joanna Floyd,2026,Q3,876829.65000000
59,Sterling Glass,2026,Q3,1246112.59000000
60,Etta Rosales,2026,Q3,1608769.80000000
63,Johnnie Boyer,2026,Q3,3577111.56000000
65,Katherine Brooks,2026,Q3,1232114.58000000
69,Imogene Conley,2026,Q3,7764153.92000000
70,Eunice Conley,2026,Q3,3383159.60000000
71,Benjamin Ward,2026,Q3,269153.81000000
72,Ollie Paul,2026,Q3,2981422.67000000
73,Juan Elliott,2026,Q3,3839367.97250000
74,Robert Williamson,2026,Q3,507859.55550000

(50 rows affected)

