=== OP 36 ===
STATUS: PASS  exit=0  elapsed=0.1s  rows=50

--- STDERR ---


--- STDOUT (tail) ---
50000,1913619.66062500,4,2026-07-26 17:54:37.3313093
1575,7567366.05000000,3783683.02500000,2,2026-07-26 17:54:34.4254892
39,7507584.99000000,2502528.33000000,3,2026-07-26 17:54:31.9103088
2520,7504896.28850000,2501632.09616666,3,2026-07-26 17:54:37.0065093
1814,7495439.22000000,3747719.61000000,2,2026-07-26 17:54:34.9804229
1410,7462744.89000000,2487581.63000000,3,2026-07-26 17:54:33.5256630
3687,7452079.91000000,2484026.63666666,3,2026-07-26 17:54:34.5194247
4562,7421323.02000000,2473774.34000000,3,2026-07-26 17:54:32.2343027
2102,7350547.90000000,1837636.97500000,4,2026-07-26 17:54:38.9366870
4456,7330897.97000000,2443632.65666666,3,2026-07-26 17:54:28.7248556
3550,7285456.97000000,2428485.65666666,3,2026-07-26 17:54:24.7852333
3574,7233861.10000000,2411287.03333333,3,2026-07-26 17:54:32.1713076
4922,7227353.13000000,3613676.56500000,2,2026-07-26 17:54:27.8104228
406,7190149.18000000,3595074.59000000,2,2026-07-26 17:54:26.3027710
1033,7186909.64950000,1437381.92990000,5,2026-07-26 17:54:32.3855040
2074,7097066.85000000,2365688.95000000,3,2026-07-26 17:54:38.6800982
1535,6996262.23000000,3498131.11500000,2,2026-07-26 17:54:32.5552133
1756,6920830.32350000,1730207.58087500,4,2026-07-26 17:54:37.4665953
898,6913296.26000000,3456648.13000000,2,2026-07-26 17:54:33.6762776
3568,6905923.96000000,2301974.65333333,3,2026-07-26 17:54:33.5010487
3234,6894095.65000000,1378819.13000000,5,2026-07-26 17:54:16.1775902
1750,6889959.96000000,2296653.32000000,3,2026-07-26 17:54:35.9525031
4332,6810086.82000000,1702521.70500000,4,2026-07-26 17:54:39.4680534
184,6799473.01450000,1359894.60290000,5,2026-07-26 17:54:38.5942284
3709,6761673.00000000,1690418.25000000,4,2026-07-26 17:54:28.8070443
1307,6749097.82350000,3374548.91175000,2,2026-07-26 17:54:29.4573102
3062,6747972.42000000,1686993.10500000,4,2026-07-26 17:54:30.3575028
4487,6725543.84000000,2241847.94666666,3,2026-07-26 17:54:36.5442992
3042,6724961.28000000,3362480.64000000,2,2026-07-26 17:54:36.9901359

(50 rows affected)

